Year,Patient County Code,Patient County Name,Rural/Urban,Payer,ER Opioid,ER Visits ,ER Rate Per 1000 ,Inpatient ER Opioid,Inpatient ER Discharges,Inpatient ER Rate Per 1000,Inpatient Non ER Opioid,Inpatient Non ER Discharges,Inpatient Non ER Rate Per 1000 ,Inpatient Total Opioid,Inpatient Total Discharges,Inpatient Total Rate Per 1000 ,ER Inpatient Total Opioid,ER Inpatient Total Discharges ,ER Inpatient Total Rate Per 1000,Opioid Ambulatory Surgery Visits,Ambulatory Surgery Visits,Ambulatory Surgery Rate Per 1000,Outpatient Opioid,Outpatient Visits,Outpatient Rate Per 1000,Other Outpatient Total Opioid, Other Outpatient Total Discharges,Other Outpatient Total Rate Per 1000,Overall Opioid,Overall Discharges,Overall Rate Per 1000
2012,56,Wyoming,Rural,Medicaid,2,3379,0.592,1,240,4.167,0,392,0,1,632,1.582,3,4011,0.748,0,640,0,0,1513,0,0,2153,0,3,6164,0.487
2011,47,Suffolk,Urban,Commercial,227,270555,0.839,195,48623,4.01,9,42610,0.211,204,91233,2.236,431,361788,1.191,0,94917,0,3,108536,0.028,3,203453,0.015,434,565241,0.768
2015,47,Suffolk,Urban,Medicaid,355,119924,2.96,126,20376,6.184,26,18562,1.401,152,38938,3.904,507,158862,3.191,0,19605,0,8,75569,0.106,8,95174,0.084,515,254036,2.027
2015,49,Tioga,Urban,Medicare,0,1190,0,1,658,1.52,0,293,0,1,951,1.052,1,2141,0.467,0,1183,0,0,3504,0,0,4687,0,1,6828,0.146
2015,46,Steuben,Rural,Medicare,7,9452,0.741,6,3032,1.979,2,1386,1.443,8,4418,1.811,15,13870,1.081,1,4879,0.205,0,25189,0,1,30068,0.033,16,43938,0.364
2010,55,Westchester,Urban,Medicare,5,22126,0.226,22,25132,0.875,1,11682,0.086,23,36814,0.625,28,58940,0.475,0,17711,0,0,21,0,0,17732,0,28,76672,0.365
2015,26,Monroe,Urban,Medicaid,143,106651,1.341,75,9931,7.552,3,9472,0.317,78,19403,4.02,221,126054,1.753,0,14496,0,0,78210,0,0,92706,0,221,218760,1.01
2011,13,Dutchess,Urban,Unknown,0,923,0,0,32,0,0,21,0,0,53,0,0,976,0,0,374,0,0,159,0,0,533,0,0,1509,0
2011,42,Schenectady,Urban,Medicare,3,11887,0.252,2,1129,1.771,10,6884,1.453,12,8013,1.498,15,19900,0.754,0,6855,0,1,17332,0.058,1,24187,0.041,16,44087,0.363
2015,55,Westchester,Urban,Other,2,9520,0.21,2,871,2.296,0,525,0,2,1396,1.433,4,10916,0.366,0,1927,0,0,8623,0,0,10550,0,4,21466,0.186
2011,58,Bronx,Urban,Medicaid,88,411854,0.214,232,69478,3.339,58,50892,1.14,290,120370,2.409,378,532224,0.71,0,44614,0,4,993224,0.004,4,1037838,0.004,382,1570062,0.243
2014,88,Other than New York State,Urban,Other,4,6254,0.64,1,599,1.669,1,619,1.616,2,1218,1.642,6,7472,0.803,0,1338,0,0,3305,0,0,4643,0,6,12115,0.495
2014,53,Washington,Urban,Medicare,5,4050,1.235,3,2301,1.304,0,746,0,3,3047,0.985,8,7097,1.127,0,3285,0,0,7655,0,0,10940,0,8,18037,0.444
2015,25,Madison,Urban,Medicare,2,4858,0.412,4,1779,2.248,1,1087,0.92,5,2866,1.745,7,7724,0.906,0,3772,0,0,7408,0,0,11180,0,7,18904,0.37
2013,49,Tioga,Urban,Commercial,3,3793,0.791,2,516,3.876,0,805,0,2,1321,1.514,5,5114,0.978,0,2168,0,0,8833,0,0,11001,0,5,16115,0.31
2015,6,Chautauqua,Rural,Medicaid,49,21984,2.229,10,1673,5.977,1,2031,0.492,11,3704,2.97,60,25688,2.336,0,3025,0,0,15419,0,0,18444,0,60,44132,1.36
2015,52,Warren,Urban,Medicaid,8,5792,1.381,1,841,1.189,1,851,1.175,2,1692,1.182,10,7484,1.336,0,1450,0,0,3753,0,0,5203,0,10,12687,0.788
2014,34,Orleans,Urban,Other,0,594,0,1,75,13.333,0,48,0,1,123,8.13,1,717,1.395,0,255,0,0,621,0,0,876,0,1,1593,0.628
2014,8,Chenango,Rural,Other,0,503,0,1,50,20,0,49,0,1,99,10.101,1,602,1.661,0,81,0,0,498,0,0,579,0,1,1181,0.847
2013,55,Westchester,Urban,Medicare,14,40524,0.345,48,31057,1.546,7,12741,0.549,55,43798,1.256,69,84322,0.818,0,27189,0,0,105681,0,0,132870,0,69,217192,0.318
2011,51,Ulster,Urban,Medicaid,11,15584,0.706,9,1749,5.146,1,2559,0.391,10,4308,2.321,21,19892,1.056,0,1612,0,0,4670,0,0,6282,0,21,26174,0.802
2013,11,Cortland,Rural,Medicaid,8,8874,0.902,7,467,14.989,1,676,1.479,8,1143,6.999,16,10017,1.597,0,877,0,0,2535,0,0,3412,0,16,13429,1.191
2012,22,Jefferson,Urban,Medicaid,5,13769,0.363,4,884,4.525,0,1420,0,4,2304,1.736,9,16073,0.56,0,1289,0,0,4998,0,0,6287,0,9,22360,0.403
2014,26,Monroe,Urban,Medicaid,165,96712,1.706,94,9723,9.668,4,9896,0.404,98,19619,4.995,263,116331,2.261,0,12836,0,0,77268,0,0,90104,0,263,206435,1.274
2011,12,Delaware,Rural,Commercial,6,8315,0.722,2,527,3.795,4,906,4.415,6,1433,4.187,12,9748,1.231,0,3629,0,1,25595,0.039,1,29224,0.034,13,38972,0.334
2012,29,Niagara,Urban,Medicaid,24,23033,1.042,21,3080,6.818,0,2655,0,21,5735,3.662,45,28768,1.564,0,3103,0,0,14325,0,0,17428,0,45,46196,0.974
2012,49,Tioga,Urban,Medicare,0,1349,0,1,909,1.1,0,377,0,1,1286,0.778,1,2635,0.38,0,958,0,0,8176,0,0,9134,0,1,11769,0.085
2010,28,Nassau,Urban,Medicaid,24,47595,0.504,54,13743,3.929,3,8608,0.349,57,22351,2.55,81,69946,1.158,0,6523,0,0,2717,0,0,9240,0,81,79186,1.023
2015,54,Wayne,Urban,Other,0,790,0,3,176,17.045,0,136,0,3,312,9.615,3,1102,2.722,0,317,0,0,529,0,0,846,0,3,1948,1.54
2015,38,Rensselaer,Urban,Medicare,8,10850,0.737,16,5286,3.027,3,1837,1.633,19,7123,2.667,27,17973,1.502,0,7437,0,0,24830,0,0,32267,0,27,50240,0.537
2015,26,Monroe,Urban,Commercial,106,83194,1.274,46,9634,4.775,5,14299,0.35,51,23933,2.131,157,107127,1.466,0,47366,0,1,86797,0.012,1,134163,0.007,158,241290,0.655
2012,31,Onondaga,Urban,Medicaid,68,48602,1.399,30,6098,4.92,0,6922,0,30,13020,2.304,98,61622,1.59,0,5169,0,0,32836,0,0,38005,0,98,99627,0.984
2011,28,Nassau,Urban,Other,1,9876,0.101,4,1472,2.717,0,489,0,4,1961,2.04,5,11837,0.422,0,2190,0,0,7325,0,0,9515,0,5,21352,0.234
2015,4,Cattaraugus,Rural,Commercial,9,4088,2.202,1,479,2.088,1,1053,0.95,2,1532,1.305,11,5620,1.957,0,2939,0,0,8614,0,0,11553,0,11,17173,0.641
2014,62,Richmond (Staten Island),Urban,Other,8,11189,0.715,3,796,3.769,0,318,0,3,1114,2.693,11,12303,0.894,0,960,0,0,24329,0,0,25289,0,11,37592,0.293
2014,21,Herkimer,Urban,Medicare,5,5075,0.985,1,1889,0.529,2,1633,1.225,3,3522,0.852,8,8597,0.931,0,2974,0,0,22229,0,0,25203,0,8,33800,0.237
2015,,Statewide Total,State,Medicaid,3112,2822242,1.103,1971,384536,5.126,290,321301,0.903,2261,705837,3.203,5373,3528079,1.523,4,381021,0.01,55,4419620,0.012,59,4800641,0.012,5432,8328720,0.652
2013,61,Queens,Urban,Medicare,5,71374,0.07,64,63029,1.015,8,23282,0.344,72,86311,0.834,77,157685,0.488,0,43589,0,0,251757,0,0,295346,0,77,453031,0.17
2014,31,Onondaga,Urban,Medicare,20,26060,0.767,32,16156,1.981,1,5181,0.193,33,21337,1.547,53,47397,1.118,0,23511,0,0,37649,0,0,61160,0,53,108557,0.488
2010,88,Other than New York State,Urban,Medicaid,5,6154,0.812,6,1292,4.644,0,999,0,6,2291,2.619,11,8445,1.303,0,578,0,0,9,0,0,587,0,11,9032,1.218
2014,30,Oneida,Urban,Commercial,14,22975,0.609,10,2356,4.244,0,4251,0,10,6607,1.514,24,29582,0.811,0,16683,0,1,21210,0.047,1,37893,0.026,25,67475,0.371
2010,,Statewide Total,State,Medicaid,905,2027591,0.446,1362,358672,3.797,176,317215,0.555,1538,675887,2.276,2443,2703478,0.904,1,288050,0.003,0,12244,0,1,300294,0.003,2444,3003772,0.814
2012,58,Bronx,Urban,Medicare,20,67591,0.296,81,52150,1.553,5,13843,0.361,86,65993,1.303,106,133584,0.794,0,28660,0,0,324190,0,0,352850,0,106,486434,0.218
2012,88,Other than New York State,Urban,Medicaid,8,8909,0.898,14,1319,10.614,1,857,1.167,15,2176,6.893,23,11085,2.075,0,576,0,0,2847,0,0,3423,0,23,14508,1.585
2010,14,Erie,Urban,Commercial,92,113212,0.813,36,14154,2.543,2,23064,0.087,38,37218,1.021,130,150430,0.864,0,68863,0,0,74,0,0,68937,0,130,219367,0.593
2013,21,Herkimer,Urban,Commercial,2,7199,0.278,1,771,1.297,1,1205,0.83,2,1976,1.012,4,9175,0.436,0,4758,0,0,14414,0,0,19172,0,4,28347,0.141
2014,34,Orleans,Urban,Medicaid,4,3238,1.235,1,317,3.155,0,570,0,1,887,1.127,5,4125,1.212,0,669,0,1,1571,0.637,1,2240,0.446,6,6365,0.943
2011,17,Fulton,Rural,Medicare,1,1865,0.536,5,2358,2.12,0,1191,0,5,3549,1.409,6,5414,1.108,0,3262,0,0,6715,0,0,9977,0,6,15391,0.39
2015,5,Cayuga,Rural,Commercial,17,7839,2.169,4,833,4.802,2,1653,1.21,6,2486,2.414,23,10325,2.228,0,6081,0,3,9963,0.301,3,16044,0.187,26,26369,0.986
2015,46,Steuben,Rural,Other,1,2044,0.489,2,203,9.852,0,199,0,2,402,4.975,3,2446,1.226,0,948,0,0,1603,0,0,2551,0,3,4997,0.6
2015,58,Bronx,Urban,Commercial,64,243758,0.263,64,21853,2.929,13,16677,0.78,77,38530,1.998,141,282288,0.499,0,48960,0,4,300872,0.013,4,349832,0.011,145,632120,0.229
2012,3,Broome,Urban,Medicare,11,16328,0.674,21,8511,2.467,0,2574,0,21,11085,1.894,32,27413,1.167,0,7547,0,0,83314,0,0,90861,0,32,118274,0.271
2015,57,Yates,Urban,Commercial,5,3173,1.576,0,253,0,0,458,0,0,711,0,5,3884,1.287,0,1957,0,0,3495,0,0,5452,0,5,9336,0.536
2012,37,Putnam,Urban,Other,0,1070,0,0,110,0,0,64,0,0,174,0,0,1244,0,0,367,0,0,463,0,0,830,0,0,2074,0
2012,6,Chautauqua,Rural,Commercial,13,23534,0.552,6,1644,3.65,0,2283,0,6,3927,1.528,19,27461,0.692,0,8037,0,0,53025,0,0,61062,0,19,88523,0.215
2010,28,Nassau,Urban,Other,1,12466,0.08,3,1537,1.952,0,588,0,3,2125,1.412,4,14591,0.274,0,2196,0,0,191,0,0,2387,0,4,16978,0.236
2013,6,Chautauqua,Rural,Medicaid,30,21115,1.421,15,1752,8.562,0,2046,0,15,3798,3.949,45,24913,1.806,0,2429,0,0,13239,0,0,15668,0,45,40581,1.109
2011,19,Greene,Rural,Medicaid,2,3138,0.637,7,549,12.75,2,632,3.165,9,1181,7.621,11,4319,2.547,0,665,0,0,1867,0,0,2532,0,11,6851,1.606
2012,30,Oneida,Urban,Medicaid,22,38460,0.572,20,3929,5.09,4,4088,0.978,24,8017,2.994,46,46477,0.99,0,4917,0,1,13402,0.075,1,18319,0.055,47,64796,0.725
2014,39,Rockland,Urban,Commercial,14,34176,0.41,14,4085,3.427,3,5776,0.519,17,9861,1.724,31,44037,0.704,0,8088,0,0,25418,0,0,33506,0,31,77543,0.4
2015,24,Livingston,Urban,Commercial,9,5472,1.645,2,704,2.841,1,1130,0.885,3,1834,1.636,12,7306,1.642,1,4256,0.235,0,11049,0,1,15305,0.065,13,22611,0.575
2011,26,Monroe,Urban,Medicaid,54,75288,0.717,56,9028,6.203,1,9562,0.105,57,18590,3.066,111,93878,1.182,0,9284,0,0,81321,0,0,90605,0,111,184483,0.602
2014,26,Monroe,Urban,Other,4,6001,0.667,6,658,9.119,0,424,0,6,1082,5.545,10,7083,1.412,0,1948,0,0,4146,0,0,6094,0,10,13177,0.759
2015,7,Chemung,Urban,Commercial,15,14365,1.044,6,1025,5.854,0,1598,0,6,2623,2.287,21,16988,1.236,0,4349,0,0,61975,0,0,66324,0,21,83312,0.252
2012,23,Lewis,Rural,Commercial,0,4097,0,0,178,0,1,411,2.433,1,589,1.698,1,4686,0.213,0,1622,0,0,2889,0,0,4511,0,1,9197,0.109
2015,54,Wayne,Urban,Commercial,12,13380,0.897,7,1563,4.479,1,2054,0.487,8,3617,2.212,20,16997,1.177,0,8824,0,0,11998,0,0,20822,0,20,37819,0.529
2014,,Statewide Total,State,All Payers,4967,6823998,0.728,4036,1370833,2.944,503,996582,0.505,4539,2367415,1.917,9506,9191413,1.034,10,2253757,0.004,52,11030164,0.005,62,13283921,0.005,9568,22475334,0.426
2015,62,Richmond (Staten Island),Urban,Medicare,13,22372,0.581,52,18024,2.885,8,4978,1.607,60,23002,2.608,73,45374,1.609,1,12962,0.077,3,84505,0.036,4,97467,0.041,77,142841,0.539
2014,45,Seneca,Rural,Medicaid,5,3089,1.619,3,247,12.146,1,348,2.874,4,595,6.723,9,3684,2.443,0,480,0,0,1435,0,0,1915,0,9,5599,1.607
2015,5,Cayuga,Rural,Medicare,4,5160,0.775,12,2470,4.858,5,1656,3.019,17,4126,4.12,21,9286,2.261,0,3706,0,4,8418,0.475,4,12124,0.33,25,21410,1.168
2015,24,Livingston,Urban,Medicare,5,3604,1.387,7,1972,3.55,2,691,2.894,9,2663,3.38,14,6267,2.234,0,3248,0,0,8645,0,0,11893,0,14,18160,0.771
2012,8,Chenango,Rural,Commercial,10,10412,0.96,5,692,7.225,2,1278,1.565,7,1970,3.553,17,12382,1.373,0,2800,0,0,32514,0,0,35314,0,17,47696,0.356
2015,36,Otsego,Rural,Other,0,607,0,0,43,0,0,49,0,0,92,0,0,699,0,0,111,0,0,1181,0,0,1292,0,0,1991,0
2012,6,Chautauqua,Rural,Medicare,6,10946,0.548,7,3958,1.769,1,1427,0.701,8,5385,1.486,14,16331,0.857,0,4875,0,0,36658,0,0,41533,0,14,57864,0.242
2012,61,Queens,Urban,Other,4,18897,0.212,8,3352,2.387,1,1205,0.83,9,4557,1.975,13,23454,0.554,0,3743,0,0,52133,0,0,55876,0,13,79330,0.164
2013,51,Ulster,Urban,Medicare,7,12478,0.561,6,6976,0.86,0,3247,0,6,10223,0.587,13,22701,0.573,0,6470,0,0,12905,0,0,19375,0,13,42076,0.309
2012,43,Schoharie,Urban,Medicaid,1,3333,0.3,1,195,5.128,0,331,0,1,526,1.901,2,3859,0.518,0,452,0,0,4957,0,0,5409,0,2,9268,0.216
2012,50,Tompkins,Urban,Medicaid,9,6388,1.409,0,615,0,0,863,0,0,1478,0,9,7866,1.144,0,825,0,0,2455,0,0,3280,0,9,11146,0.807
2014,99,Unknown,Urban,Medicare,13,23418,0.555,22,10317,2.132,1,4027,0.248,23,14344,1.603,36,37762,0.953,0,23175,0,0,53640,0,0,76815,0,36,114577,0.314
2012,,Statewide Total,State,Other,83,240170,0.346,92,27663,3.326,7,17504,0.4,99,45167,2.192,182,285337,0.638,0,53755,0,0,245805,0,0,299560,0,182,584897,0.311
2014,60,New York (Manhattan),Urban,Commercial,79,216936,0.364,64,23669,2.704,9,34698,0.259,73,58367,1.251,152,275303,0.552,0,81421,0,1,265433,0.004,1,346854,0.003,153,622157,0.246
2014,32,Ontario,Urban,Medicare,3,6116,0.491,9,3220,2.795,0,1158,0,9,4378,2.056,12,10494,1.144,0,4789,0,0,10689,0,0,15478,0,12,25972,0.462
2011,9,Clinton,Rural,Medicare,2,5604,0.357,4,2679,1.493,0,789,0,4,3468,1.153,6,9072,0.661,0,5108,0,0,14195,0,0,19303,0,6,28375,0.211
2013,56,Wyoming,Rural,Other,0,805,0,0,134,0,0,91,0,0,225,0,0,1030,0,0,286,0,0,509,0,0,795,0,0,1825,0
2011,47,Suffolk,Urban,Medicare,35,58775,0.595,107,59220,1.807,3,16583,0.181,110,75803,1.451,145,134578,1.077,0,40484,0,3,70864,0.042,3,111348,0.027,148,245926,0.602
2014,49,Tioga,Urban,Medicare,3,1488,2.016,2,778,2.571,1,336,2.976,3,1114,2.693,6,2602,2.306,0,1226,0,0,9291,0,0,10517,0,6,13119,0.457
2013,99,Unknown,Urban,Medicare,15,33999,0.441,22,13418,1.64,5,6733,0.743,27,20151,1.34,42,54150,0.776,0,28166,0,0,69545,0,0,97711,0,42,151861,0.277
2014,3,Broome,Urban,Medicare,11,16369,0.672,7,7444,0.94,2,2436,0.821,9,9880,0.911,20,26249,0.762,0,8638,0,1,87708,0.011,1,96346,0.01,21,122595,0.171
2010,59,Kings (Brooklyn),Urban,Medicare,17,72680,0.234,67,64757,1.035,12,33358,0.36,79,98115,0.805,96,170795,0.562,1,46862,0.021,0,92,0,1,46954,0.021,97,217749,0.445
2015,22,Jefferson,Urban,Other,15,16928,0.886,2,865,2.312,0,2593,0,2,3458,0.578,17,20386,0.834,0,3206,0,0,5542,0,0,8748,0,17,29134,0.584
2013,99,Unknown,Urban,Medicaid,44,81344,0.541,49,9136,5.363,7,6782,1.032,56,15918,3.518,100,97262,1.028,0,11042,0,0,82271,0,0,93313,0,100,190575,0.525
2011,12,Delaware,Rural,Medicare,2,5425,0.369,2,1013,1.974,2,1849,1.082,4,2862,1.398,6,8287,0.724,0,3426,0,1,29367,0.034,1,32793,0.03,7,41080,0.17
2015,22,Jefferson,Urban,Medicaid,28,18761,1.492,8,979,8.172,1,1469,0.681,9,2448,3.676,37,21209,1.745,0,2149,0,0,6534,0,0,8683,0,37,29892,1.238
2015,24,Livingston,Urban,Other,1,814,1.229,0,95,0,0,48,0,0,143,0,1,957,1.045,0,309,0,0,800,0,0,1109,0,1,2066,0.484
2013,88,Other than New York State,Urban,Other,0,6367,0,5,579,8.636,0,619,0,5,1198,4.174,5,7565,0.661,0,1395,0,0,2107,0,0,3502,0,5,11067,0.452
2013,26,Monroe,Urban,Commercial,94,89893,1.046,58,11008,5.269,2,16846,0.119,60,27854,2.154,154,117747,1.308,0,45069,0,0,82288,0,0,127357,0,154,245104,0.628
2012,32,Ontario,Urban,Commercial,10,15893,0.629,12,1605,7.477,0,2554,0,12,4159,2.885,22,20052,1.097,0,9560,0,0,15267,0,0,24827,0,22,44879,0.49
2014,11,Cortland,Rural,Medicare,2,4057,0.493,4,1770,2.26,0,589,0,4,2359,1.696,6,6416,0.935,0,2373,0,0,4262,0,0,6635,0,6,13051,0.46
2015,3,Broome,Urban,Other,3,1211,2.477,0,125,0,0,96,0,0,221,0,3,1432,2.095,0,256,0,0,1084,0,0,1340,0,3,2772,1.082
2013,29,Niagara,Urban,Commercial,32,34641,0.924,22,5348,4.114,3,5892,0.509,25,11240,2.224,57,45881,1.242,1,20353,0.049,0,63629,0,1,83982,0.012,58,129863,0.447
2013,12,Delaware,Rural,Medicare,2,5587,0.358,0,1054,0,1,1549,0.646,1,2603,0.384,3,8190,0.366,0,2040,0,0,41920,0,0,43960,0,3,52150,0.058
2014,13,Dutchess,Urban,Commercial,67,44521,1.505,13,4774,2.723,0,7250,0,13,12024,1.081,80,56545,1.415,0,17044,0,0,24263,0,0,41307,0,80,97852,0.818
2015,18,Genesee,Rural,Commercial,9,6823,1.319,3,826,3.632,1,1397,0.716,4,2223,1.799,13,9046,1.437,0,4568,0,0,15627,0,0,20195,0,13,29241,0.445
2012,27,Montgomery,Rural,Commercial,2,12123,0.165,5,681,7.342,1,1140,0.877,6,1821,3.295,8,13944,0.574,0,4741,0,0,13700,0,0,18441,0,8,32385,0.247
2014,45,Seneca,Rural,Medicare,1,2240,0.446,5,1263,3.959,0,466,0,5,1729,2.892,6,3969,1.512,0,1615,0,0,4227,0,0,5842,0,6,9811,0.612
2015,33,Orange,Urban,Other,3,4811,0.624,0,576,0,0,319,0,0,895,0,3,5706,0.526,0,931,0,0,1670,0,0,2601,0,3,8307,0.361
2011,39,Rockland,Urban,Commercial,7,36238,0.193,12,5456,2.199,2,6709,0.298,14,12165,1.151,21,48403,0.434,0,9680,0,1,21018,0.048,1,30698,0.033,22,79101,0.278
2015,7,Chemung,Urban,Other,0,973,0,0,110,0,0,121,0,0,231,0,0,1204,0,0,473,0,0,3081,0,0,3554,0,0,4758,0
2013,30,Oneida,Urban,Other,4,4461,0.897,2,491,4.073,0,408,0,2,899,2.225,6,5360,1.119,0,846,0,0,3963,0,0,4809,0,6,10169,0.59
2014,38,Rensselaer,Urban,Medicare,3,8822,0.34,11,4155,2.647,0,1712,0,11,5867,1.875,14,14689,0.953,0,6744,0,0,11723,0,0,18467,0,14,33156,0.422
2014,13,Dutchess,Urban,Medicare,14,17272,0.811,24,9632,2.492,0,3150,0,24,12782,1.878,38,30054,1.264,0,10380,0,0,23270,0,0,33650,0,38,63704,0.597
2012,40,St. Lawrence,Rural,Medicare,3,10303,0.291,7,3753,1.865,2,1654,1.209,9,5407,1.665,12,15710,0.764,0,4947,0,0,13643,0,0,18590,0,12,34300,0.35
2013,16,Franklin,Rural,Commercial,4,3518,1.137,4,342,11.696,0,555,0,4,897,4.459,8,4415,1.812,0,1632,0,0,4011,0,0,5643,0,8,10058,0.795
2012,88,Other than New York State,Urban,Commercial,42,69423,0.605,15,9546,1.571,8,20807,0.384,23,30353,0.758,65,99776,0.651,0,35794,0,0,50344,0,0,86138,0,65,185914,0.35
2013,29,Niagara,Urban,Other,1,2499,0.4,0,221,0,0,303,0,0,524,0,1,3023,0.331,0,627,0,0,1549,0,0,2176,0,1,5199,0.192
2011,40,St. Lawrence,Rural,Medicaid,3,20899,0.144,8,1499,5.337,0,1981,0,8,3480,2.299,11,24379,0.451,0,1692,0,0,7793,0,0,9485,0,11,33864,0.325
2015,6,Chautauqua,Rural,Other,2,1364,1.466,1,122,8.197,0,132,0,1,254,3.937,3,1618,1.854,0,255,0,0,938,0,0,1193,0,3,2811,1.067
2011,14,Erie,Urban,Medicaid,124,108978,1.138,115,12028,9.561,6,12894,0.465,121,24922,4.855,245,133900,1.83,0,12815,0,0,104991,0,0,117806,0,245,251706,0.973
2014,47,Suffolk,Urban,Other,5,14111,0.354,0,1288,0,0,501,0,0,1789,0,5,15900,0.314,0,6553,0,0,3444,0,0,9997,0,5,25897,0.193
2013,32,Ontario,Urban,Medicare,2,6174,0.324,10,3454,2.895,0,1309,0,10,4763,2.1,12,10937,1.097,0,4878,0,1,10763,0.093,1,15641,0.064,13,26578,0.489
2011,,Statewide Total,State,Medicaid,1067,2393369,0.446,1588,389460,4.077,194,331141,0.586,1782,720601,2.473,2849,3113970,0.915,3,307600,0.01,22,4622263,0.005,25,4929863,0.005,2874,8043833,0.357
2011,55,Westchester,Urban,Medicaid,30,75026,0.4,36,11260,3.197,4,13013,0.307,40,24273,1.648,70,99299,0.705,0,6982,0,0,149228,0,0,156210,0,70,255509,0.274
2013,9,Clinton,Rural,Medicaid,2,9518,0.21,5,531,9.416,0,619,0,5,1150,4.348,7,10668,0.656,0,979,0,0,8203,0,0,9182,0,7,19850,0.353
2013,59,Kings (Brooklyn),Urban,Other,3,20033,0.15,2,2664,0.751,0,1163,0,2,3827,0.523,5,23860,0.21,0,4489,0,0,25479,0,0,29968,0,5,53828,0.093
2010,30,Oneida,Urban,Medicaid,20,25413,0.787,22,3146,6.993,6,4428,1.355,28,7574,3.697,48,32987,1.455,0,4781,0,0,18,0,0,4799,0,48,37786,1.27
2013,33,Orange,Urban,Medicaid,23,32403,0.71,32,3697,8.656,2,5787,0.346,34,9484,3.585,57,41887,1.361,0,4335,0,0,8218,0,0,12553,0,57,54440,1.047
2012,46,Steuben,Rural,Medicare,4,8262,0.484,9,3692,2.438,2,1590,1.258,11,5282,2.083,15,13544,1.108,0,4595,0,0,10477,0,0,15072,0,15,28616,0.524
2015,51,Ulster,Urban,Medicare,17,13834,1.229,19,7220,2.632,2,2698,0.741,21,9918,2.117,38,23752,1.6,0,6794,0,0,16667,0,0,23461,0,38,47213,0.805
2010,,Statewide Total,State,Commercial,1086,2745644,0.396,999,392588,2.545,103,469255,0.219,1102,861843,1.279,2188,3607487,0.607,5,1075978,0.005,1,15113,0.066,6,1091091,0.005,2194,4698578,0.467
2013,6,Chautauqua,Rural,Other,1,1548,0.646,1,140,7.143,0,134,0,1,274,3.65,2,1822,1.098,0,251,0,0,1201,0,0,1452,0,2,3274,0.611
2013,48,Sullivan,Rural,Medicaid,2,4561,0.439,5,771,6.485,0,886,0,5,1657,3.018,7,6218,1.126,0,980,0,0,2818,0,0,3798,0,7,10016,0.699
2015,10,Columbia,Rural,Other,0,606,0,0,59,0,0,25,0,0,84,0,0,690,0,0,107,0,0,367,0,0,474,0,0,1164,0
2014,19,Greene,Rural,Medicaid,6,4119,1.457,8,568,14.085,0,667,0,8,1235,6.478,14,5354,2.615,0,901,0,0,1979,0,0,2880,0,14,8234,1.7
2011,2,Allegany,Rural,Other,0,741,0,1,71,14.085,0,46,0,1,117,8.547,1,858,1.166,0,130,0,0,1184,0,0,1314,0,1,2172,0.46
2015,50,Tompkins,Urban,Medicare,4,4559,0.877,8,1928,4.149,0,693,0,8,2621,3.052,12,7180,1.671,0,2674,0,1,9986,0.1,1,12660,0.079,13,19840,0.655
2015,59,Kings (Brooklyn),Urban,Other,5,17143,0.292,6,1478,4.06,0,940,0,6,2418,2.481,11,19561,0.562,0,5714,0,0,22393,0,0,28107,0,11,47668,0.231
2011,43,Schoharie,Urban,Commercial,2,5574,0.359,0,312,0,1,695,1.439,1,1007,0.993,3,6581,0.456,0,3052,0,0,18690,0,0,21742,0,3,28323,0.106
2015,13,Dutchess,Urban,Other,8,3779,2.117,5,524,9.542,0,242,0,5,766,6.527,13,4545,2.86,0,1793,0,0,1474,0,0,3267,0,13,7812,1.664
2012,51,Ulster,Urban,Medicare,11,10677,1.03,13,7240,1.796,1,3261,0.307,14,10501,1.333,25,21178,1.18,0,6791,0,0,13495,0,0,20286,0,25,41464,0.603
2011,42,Schenectady,Urban,Commercial,19,29691,0.64,1,995,1.005,6,5326,1.127,7,6321,1.107,26,36012,0.722,0,13278,0,1,23593,0.042,1,36871,0.027,27,72883,0.37
2013,22,Jefferson,Urban,Medicare,1,7386,0.135,8,2947,2.715,0,1653,0,8,4600,1.739,9,11986,0.751,0,3726,0,0,10185,0,0,13911,0,9,25897,0.348
2011,43,Schoharie,Urban,Medicaid,2,3218,0.622,2,177,11.299,2,345,5.797,4,522,7.663,6,3740,1.604,0,690,0,0,16874,0,0,17564,0,6,21304,0.282
2014,,Statewide Total,State,Commercial,2209,2796874,0.79,977,313588,3.116,123,413900,0.297,1100,727488,1.512,3309,3524362,0.939,4,1120655,0.004,13,3262734,0.004,17,4383389,0.004,3326,7907751,0.421
2012,11,Cortland,Rural,Medicaid,4,9497,0.421,6,577,10.399,0,765,0,6,1342,4.471,10,10839,0.923,0,640,0,0,2249,0,0,2889,0,10,13728,0.728
2010,2,Allegany,Rural,Commercial,1,5833,0.171,3,665,4.511,2,1279,1.564,5,1944,2.572,6,7777,0.772,0,3032,0,0,98,0,0,3130,0,6,10907,0.55
2011,59,Kings (Brooklyn),Urban,Medicare,19,83473,0.228,73,79845,0.914,5,31067,0.161,78,110912,0.703,97,194385,0.499,0,51444,0,0,362360,0,0,413804,0,97,608189,0.159
2014,15,Essex,Rural,Commercial,0,6751,0,1,334,2.994,0,511,0,1,845,1.183,1,7596,0.132,0,1961,0,0,7945,0,0,9906,0,1,17502,0.057
